Date Decided,Citation,Appellants,Respondents,Case Note
Secondary Education being a 'document, manuscript record, and opinion' fell
within definition of ""information"" under Act and therefore directed CBSE to
grant inspection of answer books to examinees who sought information -
Whether an examinee's right to information under Act included a right to
copies thereof - Held, Â When a candidate participates in an examination anded
writes his answers in an answer-book and submits it to examining body for
evaluation and declaration of result, answer-book was a document or record -
When answer-book was evaluated by an examiner appointed by examining
body evaluated answer-book became a record containing 'opinion' of
examiner - Therefore, evaluated answer-book was also an 'information' under
Act - Right of citizens to access any information held or under control of any
public authority should be read in harmony with exclusions/exemptions in Act
- Unless examining bodies were able to demonstrate that evaluated answer-




     08-08-2022 (Page 1 of 28)  www.manupatra.com        OP Jindal Global Universitybooks fell under any of categories of exempted 'information', they would be
bound to provide access to information and any applicant could either inspect
document/record, take notes, extracts or obtain certified copies thereof

Right to Information - Right to inspect evaluated answer books - Right to
Information Act, 2005 - Whether decisions of this Court in Maharashtra State
Board of Secondary Education v. Paritosh B. ShethÂ and subsequent decisions
following same in any way affect or interfere with right of an examinee
seeking inspection of his answer books or seeking certified copies thereof -
Held, Principles laid down in decisions such as Maharashtra State Board
depend upon provisions of Rules and Regulations of examining body - If Rules
and Regulations of examining body provided for re-evaluation, inspection or
disclosure of answer-books then none of principles in Maharashtra State
Board or other decisions following it would apply or be relevant - Provision
barring inspection or disclosure of answer-books or re-evaluation of answer-
books and restricting remedy of candidates only to re-totalling was valid and
binding on examinee - Provisions of Act would prevail over provisions of bye-
laws/rules of examining bodies in regard to examinations - Unless examining
body was able to demonstrate that answer-books fell under exempted
category of information, examining body would be bound to provide access to
an examinee to inspect and take copies of his evaluated answer-books even if
such inspection or taking copies was barred under rules/bye-laws of
examining body governing examinations - Therefore, decision of Court in
subsequent decisions following same would not affect or interfere with right
of examinee seeking inspection of answer-books or taking certified copies
thereof - Issue answered.

Right to Information - Right to inspect evaluated answer books - Section 8(1)
of Right to Information Act, 2005 - Whether an examining body hadevaluated
answer books ""in a fiduciary relationship"" and consequently had no obligation
to give inspection of evaluated answer books under SectionÂ 8(1)(e)Â ofAct -
Held, Term 'fiduciary relationship' was used to describe a situation or
transaction where one person (beneficiary) places complete confidence in
another person (fiduciary) in regard to his affairs, business or transactions -
Fiduciary was expected to act in confidence and for benefit and advantage of
beneficiary, and use good faith and fairness in dealing with beneficiary or
things belonging to beneficiary - Examining bodies could be said to act in a
